"id";"titre";"etat";"auteur";"assignes";"labels";"sprint";"cree_le";"maj_le";"cloture_le";"url"
"57";"Cr├®ation d'une interface macOS";"OPEN";"MatisROMBI";"MatisROMBI";"";"";"2025-11-03T12:47:50Z";"2025-11-03T12:48:12Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/57"
"56";"sons interactifs a mettre en place";"OPEN";"adamaroussibentata";"";"";"";"2025-11-03T12:46:57Z";"2025-11-05T07:28:22Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/56"
"55";"rate limiter";"OPEN";"adamaroussibentata";"";"";"";"2025-11-03T10:42:51Z";"2025-11-03T10:42:51Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/55"
"54";"revoir et pr├®voir la base de donn├®es enti├¿re li├®e aux jeux etc...";"OPEN";"adamaroussibentata";"";"";"";"2025-11-03T10:41:25Z";"2025-11-03T10:41:25Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/54"
"53";"rate limiter";"OPEN";"adamaroussibentata";"younesBenahmed";"";"";"2025-11-03T10:40:40Z";"2025-11-03T10:47:55Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/53"
"50";"correction bug bouton vert qui se decale a droite";"OPEN";"adamaroussibentata";"adamaroussibentata";"";"";"2025-10-24T07:35:00Z";"2025-10-24T07:35:05Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/50"
"49";"Cr├®ation d'un syst├¿me de demande d'ami";"OPEN";"MatisROMBI";"";"";"";"2025-10-24T07:06:47Z";"2025-10-24T07:06:47Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/49"
"46";"Gestion de groupes";"OPEN";"LoicHernndz";"";"";"";"2025-10-23T13:29:51Z";"2025-10-23T13:29:51Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/46"
"44";"Le├ºon : Histoire stockage mdp";"OPEN";"LoicHernndz";"";"";"";"2025-10-23T13:25:12Z";"2025-10-23T13:25:12Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/44"
"43";"Le├ºon interractive : permutation";"OPEN";"LoicHernndz";"";"";"";"2025-10-23T13:24:00Z";"2025-10-23T13:24:00Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/43"
"42";"Le├ºon interractive : Vigen├¿re";"OPEN";"LoicHernndz";"";"";"";"2025-10-23T13:23:32Z";"2025-10-23T13:23:32Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/42"
"41";"Le├ºon interractive : C├®sar";"OPEN";"LoicHernndz";"";"";"";"2025-10-23T13:23:11Z";"2025-10-23T13:23:11Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/41"
"37";"Revoir et pr├®voir la base de donn├®e enti├¿re li├®s au jeux etc....";"OPEN";"younesBenahmed";"";"";"";"2025-10-21T09:49:18Z";"2025-10-24T14:55:24Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/37"
"36";"Refactorer les controls m├®tiers";"OPEN";"MatisROMBI";"";"";"";"2025-10-21T08:35:00Z";"2025-10-21T08:35:00Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/36"
"23";"Rate limiter";"OPEN";"LoicHernndz";"MatisROMBI";"";"";"2025-10-13T14:51:13Z";"2025-11-03T08:17:24Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/23"
"19";"Contraintes techniques";"OPEN";"younesBenahmed";"";"";"";"2025-10-13T14:41:11Z";"2025-10-13T14:41:11Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/19"
"18";"S├®curit├®";"OPEN";"younesBenahmed";"";"";"";"2025-10-13T14:40:46Z";"2025-10-13T14:40:46Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/18"
"17";"Cr├®ation base de donn├®es";"OPEN";"MatisROMBI";"";"";"";"2025-10-13T14:40:36Z";"2025-10-13T14:40:36Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/17"
"16";"pagination";"OPEN";"younesBenahmed";"";"";"";"2025-10-13T14:40:25Z";"2025-10-13T14:40:25Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/16"
"11";"D├®connexion";"OPEN";"younesBenahmed";"";"";"";"2025-10-13T14:36:07Z";"2025-10-13T14:36:07Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/11"
